Aafrika	Africa
Comitatenses	Comitatenses
Kõrgest soost poissmehe mõistatus	The Adventure of the Noble Bachelor
Kirgiisi ahelik	Kyrgyz Ala-Too Range
Bologoje rajoon	Bologovsky District
Leigh Francis	Leigh Francis
Igimänd	Pinus longaeva
2002. aasta Rahvaste Ühenduse mängud	2002 Commonwealth Games
2014. aasta Rahvaste Ühenduse mängud	2014 Commonwealth Games
Vincenzo Giustiniani	Vincenzo Giustiniani (Dominican)
Ščara	Shchara River
Itaalia parlament	Italian Parliament
Erastvere järv	Lake Erastvere
Konstruktivism	Constructivism
Konvent	Convent (disambiguation)
Institutsionaalne majandusteadus	Institutional economics
Elissa	Elissa (Lebanese singer)
Nortt	Nortt
Petre S. Aurelian	Petre S. Aurelian
2008. aasta Venemaa presidendivalimised	Russian presidential election, 2008
Merinarmaskala	Weedy seadragon
Enne	Omen
Krevo unioon	Union of Krewo
Väike mudil	Sand goby
Sünkroonsus	Synchronicity
London Arch	London Arch
Vjatško	Vyachko
Hüpnoteraapia	Hypnotherapy
Falling Rain	Falling Rain
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde	Abbott and Costello Meet Dr. Jekyll and Mr. Hyde
Pecha Kucha	PechaKucha
Gröönimaa Ülikool	University of Greenland
Alberta lipp	Flag of Alberta
Kõrvallause	Dependent clause
Nikolai Demidov	Nikolai Nikitich Demidov
Harris	Harris, Scotland
Gaiziņkalns	Gaiziņkalns
2011. aasta põhja suusaalade maailmameistrivõistlused	FIS Nordic World Ski Championships 2011
DrugBank	DrugBank
Roheline raamatupidamine	Green accounting
Opotška rajoon	Opochetsky District
Kvatša	Kwacha
Project Runway	Project Runway
Ducie atoll	Ducie Island
Superparamagnetism	Superparamagnetism
RepRap	RepRap Project
Comtat Venaissin	Comtat Venaissin
Ressursijaotus	Scheduling (computing)
Gimme! Gimme! Gimme! (A Man After Midnight)	Gimme! Gimme! Gimme! (A Man After Midnight)
Aasosi	Equisetum pratense
Ketoos	Ketosis
Lade	Stage (stratigraphy)
Trelawny	Trelawny Parish
Partizani staadion	Partizan Stadium
Armeenia peaminister	Prime Minister of Armenia
Nordea Pank	Nordea
Ivoirité	Ivoirité
Vagina dentata	Vagina dentata
Kontemplatsioon	Contemplation
The Ark	The Ark (band)
Vesikanep (perekond)	Eupatorium
Rundāle loss	Rundāle Palace
D-duur	D major
Suusakujulised kiudpilved	Cirrus uncinus cloud
Peitusemäng	Hide and Seek (2005 film)
Vincas Mykolaitis-Putinas	Vincas Mykolaitis-Putinas
Niobrara	Niobrara River
Risosfäär	Rhizosphere
Võrdlusdiagramm	Bar chart
Grampiani mäed	Grampian Mountains
Ferenc Kónya	Ferenc Kónya
Zvarthnotshi rahvusvaheline lennujaam	Zvartnots International Airport
Eriphyle	Eriphyle
Jerzy Nowosielski	Jerzy Nowosielski
E-duur	E major
Meghna jõgi	Meghna River
Hernani	Hernani (drama)
Itaalia veinid	Italian wine
Antonio Pappano	Antonio Pappano
Sieradzi maakond	Sieradz County
Müür-raunjalg	Asplenium ruta-muraria
Tiibhoone	Wing (building)
Zgierzi maakond	Zgierz County
Pajęczno maakond	Pajęczno County
Harilik meriroosahven	Ocellaris clownfish
Euroopa Liidu kirjandusauhind	European Union Prize for Literature
Oblikalutikas	Coreus marginatus
Tavolara	Tavolara Island
Alidaad	Alidade
Pürronism	Pyrrhonism
Norra hoovus	Norwegian Current
Protoplast	Protoplast
Linnulaul	Bird vocalization
Rukkirahu	Rukkirahu
Püha Andrease orden	Order of St. Andrew
Eesti ajalehtede loend	List of newspapers in Estonia
Agamemnoni kuldmask	Mask of Agamemnon
Pagan (saar)	Pagan (island)
Jauza	Yauza River
Poollainedipool	Dipole antenna
Fraseoloogia	Phraseology
Dagens Nyheter	Dagens Nyheter
Drakon	Drakon
Köögiviljade loend	List of vegetables
Daakinid	Dakini
Tark Hans	Clever Hans
Eesti Vabadussõda	Estonian War of Independence
Infiltratsioon	Infiltration (hydrology)
Ivan Franko (laevaklass)	Ivan Franko-class passenger ship
The Vampire Bat	The Vampire Bat
Lahingute loend	List of battles
Leinapäev	National day of mourning
Constantin Argetoianu	Constantin Argetoianu
Testimonium Flavianum	Josephus on Jesus
WorldView-2	WorldView-2
Kirovske (täpsustus)	Kirovske
Kahlúa	Kahlúa
Kõrvalsaadus	By-product
Maksumäär	Tax rate
Euroopa Parlamendi valimised	Elections to the European Parliament
Segaja	Radio jamming
Karlskrona vald	Karlskrona Municipality
Potikeder	Potter's wheel
Tupekramp	Vaginismus
Kindlustusmatemaatika	Actuarial science
Elektreedid	Electret
Leclanché element	Leclanché cell
Pulmonaalhüpertensioon	Pulmonary hypertension
Pitiuusid	Pityusic Islands
Elektrikilp	Distribution board
Leeds United AFC	Leeds United F.C.
Eminem Presents: The Re-Up	Eminem Presents: The Re-Up
Alexander Stewart	Alexander Stewart
Parthenopaios	Parthenopeus
Tööstusrobot	Industrial robot
Düsplaasia	Dysplasia
Ülisuurslaalom	Super-G
Poola–Türgi sõda	Polish–Ottoman Wars
Hvis lyset tar oss	Hvis lyset tar oss
SM-65A Atlas	SM-65A Atlas
Saimaa kanal	Saimaa Canal
Onomasioloogia	Onomasiology
Sfääriline astronoomia	Spherical astronomy
For Whom the Bell Tolls (Metallica)	For Whom the Bell Tolls (Metallica song)
Sherlock Holmesi märkmeraamat	The Case-Book of Sherlock Holmes
LNB	Low-noise block downconverter
Preambul	Preamble
Diskursuseanalüüs	Discourse analysis
Ruumi meetriline paisumine	Metric expansion of space
Kultuurmaastik	Cultural landscape
Jeep Grand Cherokee	Jeep Grand Cherokee
Conwy Lloyd Morgan	C. Lloyd Morgan
Leviathan (täpsustus)	Leviathan (disambiguation)
Cool Vibes	Cool Vibes
Sikorsky S-300	Sikorsky S-300
Bailey akaatsia	Acacia baileyana
Packard Bell	Packard Bell
Malcolm Lincoln	Malcolm Lincoln
Det som engang var	Det som engang var
Venemaa naiste korvpallikoondis	Russia women's national basketball team
Opel Meriva	Opel Meriva
Euroopa stabiilsusmehhanism	European Stability Mechanism
Aasta sportlane	Estonian Sportspersonality of the year
Natt och Dag	Natt och Dag
Facelift (album)	Facelift (album)
Ketoatsidoos	Ketoacidosis
Lithuanian Airlines	FlyLAL-Lithuanian Airlines
Turu lennujaam	Turku Airport
Eslövi vald	Eslöv Municipality
Vesiehitus	Hydraulic engineering
Rootsi kalender	Swedish calendar
Maaparandus	Land reclamation
Bartoszyce maakond	Bartoszyce County
Harilik laanesõnajalg	Matteuccia struthiopteris
Útgard	Útgarðar
Ülevenemaaline Riiklik Kinematograafia Instituut	Gerasimov Institute of Cinematography
Stsintigraafia	Scintigraphy
Rockefeller	Rockefeller family
Sloboda	Sloboda
Rändajad	Rändajad
Toksinoloogia	Toxinology
Oulun Kärpät	Oulun Kärpät
Alor	Alor Island
Avatud lähtekoodiga tarkvara	Open-source software
Hüdrobioloogia	Hydrobiology
Kemi jõgi	Kem River
Merinõel	Broadnosed pipefish
Parmenides (Platon)	Parmenides (dialogue)
Sõvaš	Syvash
The Colbert Report	The Colbert Report
Liverpool FC	Liverpool F.C.
Jõhvi FC Lokomotiv	Jõhvi FC Lokomotiv
Venemaa väikesearvuliste põlisrahvaste nimekiri	List of minor indigenous peoples of Russia
Hamarkameratene	HamKam
Kopenhaageni džässifestival	Copenhagen Jazz Festival
Universidade Tecnológica Federal do Paraná	Federal Technological University of Paraná
2006. aasta Itaalia parlamendivalimised	Italian general election, 2006
Häll	Bassinet
Mahtuvustajur	Capacitive sensing
Heitlehisus	Deciduous
Grott	Grotto
Aasa-verikireslane	Zygaena lonicerae
Londoni olümpiamängud	London Olympics
Caater	Caater
Copperbelti provints	Copperbelt Province
Oulu lennujaam	Oulu Airport
Salmoneus	Salmoneus
Siirderiitus	Rite of passage
Lorestān	Lorestan Province
Serbia ja Montenegro jalgpallikoondis	Serbia and Montenegro national football team
Jäljendamine	Imitation
Hanoveri vald	Hanover Parish
Montenegro iseseisvusreferendum	Montenegrin independence referendum, 2006
Keskkonna happelisus	Acidity function
Põlispõhjavesi	Fossil water
William Strickland	William Strickland (architect)
Viljakeha	Sporocarp (fungi)
Kalaparv	Shoaling and schooling
Gloucesteri hertsogite loend	Duke of Gloucester
Iž	Iž
Oht	Hazard
Tihend	Gasket
Naissaar	Naissaar
Ventura Publisher	Corel Ventura
Lahemaa rahvuspark	Lahemaa National Park
Maserati Quattroporte	Maserati Quattroporte
Full Members Cup	Full Members Cup
Rooma Ciampino lennujaam	Ciampino–G. B. Pastine International Airport
Hüpernatreemia	Hypernatremia
Temppeliaukio kirik	Temppeliaukio Church
1934. aasta Euroopa meistrivõistlused kergejõustikus	1934 European Athletics Championships
Ges-duur	G-flat major
H-duur	B major
Tikkurila raudteejaam	Tikkurila railway station
Ratsionaal-emotiivne käitumisteraapia	Rational emotive behavior therapy
Kvanttäpp	Quantum dot
Kaama	Kama
Robert Wilcox	Robert William Wilcox
Talõši mäed	Talysh Mountains
Vanagutni keel	Old Gutnish
Elara	Elara (mythology)
Silvaner	Silvaner
Litterhein	Thlaspi
Deep Forest	Deep Forest
Klassikaline metal	Traditional heavy metal
Nurgakivi	Cornerstone
City Life	City Life (video game)
Qeqertarsuatsiaq	Qeqertarsuatsiaq Island
Mologa	Mologa River
Kieli kanali avamine	Opening of the Kiel Canal
Motoorsed neuronid	Motor neuron
Valgusfilter	Optical filter
Juan Carlos Varela	Juan Carlos Varela
Żywieci maakond	Żywiec County
Komal Rājya Lakṣmī Devī	Queen Komal of Nepal
Mongolite invasioon Venemaale	Mongol invasion of Rus'
T-10	T-10 tank
Gorõn	Horyn River
Coronationi laht	Coronation Gulf
Dolokivi	Dolostone
Stalinistlik arhitektuur	Stalinist architecture
Daniel Santos	Daniel Santos (boxer)
Digitaalselt adresseeritav valgustuse juhtimisliides	Digital Addressable Lighting Interface
Tervise mõju hindamine	Health impact assessment
Suur-Londoni Administratsioon	Greater London Authority
IEEE-488	IEEE-488
Disko laht	Disko Bay
Luukererannik	Skeleton Coast
Uus padjasõda	New Pillow Fight
Serial Attached SCSI	Serial attached SCSI
Modbus	Modbus
Kvantteleportatsioon	Quantum teleportation
Poddębice maakond	Poddębice County
Olecko maakond	Olecko County
Iława maakond	Iława County
Radomsko maakond	Radomsko County
Psühhoanaleptilised ained	Psychoanaleptic
Läti Roheline Partei	Latvian Green Party
Soomuslest	Common dab
Irboska	Izborsk
Kvartett	Quartet
Londoni Assamblee	London Assembly
Nissan X-Trail	Nissan X-Trail
Wisconsini maakondade loend	List of counties in Wisconsin
Sotsiaalne konstruktivism	Social constructivism
Krišnaism	Krishnaism
Frankenstein (film 1910)	Frankenstein (1910 film)
Ümbermaailmareis	Circumnavigation
Patoloogiline füsioloogia	Pathophysiology
Harilik võrm	Cuscuta europaea
Pattulangemine	Fall of man
Albaania Parlament	Parliament of Albania
Thermococci	Thermococci
Oktav (füüsika)	Octave (electronics)
MARS Group	MARS Group
Sagedushüplemine	Frequency-hopping spread spectrum
Noorte Sotsialistide Rahvusvaheline Liit	International Union of Socialist Youth
Rathlin	Rathlin Island
Torbay	Torbay
Kirdepiirkond (Brasiilia)	Northeast Region, Brazil
Edela-Somaalia	Southwestern Somalia
Metsamor	Metsamor
Costa Atlantica	Costa Atlantica
Costa Crociere	Costa Crociere
Costa Favolosa	Costa Favolosa
Costa Fortuna	Costa Fortuna
Costa Mediterranea	Costa Mediterranea
Saab 2000	Saab 2000
Neptunism	Neptunism
Keelikurohi	Carlina
Tervikomavalitsus (Inglismaa)	Unitary authorities of England
Stõr	Styr River
Lineaarne korrelatsioonikordaja	Pearson product-moment correlation coefficient
Nelinurklaine	Square wave
Monokord	Monochord
Päikeseküte	Solar water heating
Need koledad kübarad	Those Awful Hats
Cottoni-Moutoni efekt	Cotton–Mouton effect
Pulma-aastapäev	Wedding anniversary
Flegmoon	Phlegmon
Närvivalu	Neuralgia
Sisekadu	Syncope (phonetics)
Värvid	Couleur
Coulteri mänd	Coulter pine
Kanada tsuuga	Tsuga canadensis
Avatša abajas	Avacha Bay
Rena (laev)	MV Rena
Nõgeseliblikas	Map (butterfly)
Linnupesa	Bird nest
Servomootor	Servomotor
Krahvkond-linn	County borough
Alfa Romeo MiTo	Alfa Romeo MiTo
Londoni krahvkond	County of London
Pearindmik	Cephalothorax
Põhja-Atlandi ostsillatsioon	North Atlantic oscillation
Tüdruk, kes mängis tulega	The Girl Who Played with Fire
2011. aasta Euroopa sisemeistrivõistlused kergejõustikus	2011 European Athletics Indoor Championships
Jaul	Yawl
Dunbari arv	Dunbar's number
Norra kuninglikud õhujõud	Royal Norwegian Air Force
Seksuaalfunktsiooni häire	Sexual dysfunction
Kandalakša laht	Kandalaksha Gulf
Kongsøya	Kongsøya
Fittsi seadus	Fitts's law
Naat	Aegopodium
Harilik majaämblik	Tegenaria domestica
Maastrichti Ülikool	Maastricht University
Etnonüüm	Ethnonym
Genti Ülikool	Ghent University
Trundholmi vanker	Trundholm sun chariot
Keskmise sõrme näitamine	The finger
Papilloomiviirused	Papillomaviridae
Suunatud graaf	Directed graph
Arvutimängude loend	Lists of video games
Moskva kubermang	Moscow Governorate
Sügav uni (film 1946)	The Big Sleep (1946 film)
Varjatud mina	Covert Affairs
Hollywoodland	Hollywoodland
The Academy Is...	The Academy Is...
Turu ja Pori lään	Turku and Pori Province
Jacques Fontanille	Jacques Fontanille
Covox Speech Thing	Covox Speech Thing
Argpüks	Coward (disambiguation)
Kattekold	Lycopodium annotinum
Käguvamplased	Ichneumonidae
Laevatee	Shipping route
Doggerland	Doggerland
The Wild One	The Wild One
Soome Raudteemuuseum	Finnish Railway Museum
Ajalooline krahvkond	Historic counties of England
Taastuv ressurss	Renewable resource
Da capo	Da capo
Tõlvik	Spadix (botany)
I Am the Walrus	I Am the Walrus
Raudteejaama sisenev rong	Train Entering the Railroad Station
2008. aasta Eurovisiooni tantsuvõistlus	Eurovision Dance Contest 2008
Adõgee Vabariigi hümn	Anthem of the Republic of Adygea
L'Unione	The Union (political coalition)
Ameerika Ühendriikide riigivõlg	National debt of the United States
Šiaškotan	Shiashkotan
Ujur	Dytiscus
Vladimir Massorin	Vladimir Masorin
Vala	Vala (programming language)
Soome Kristlikud Demokraadid	Christian Democrats (Finland)
Rendžu	Renju
Pirita jõgi	Pirita (river)
Treriksröset	Three-Country Cairn
Naughty but Nice	Naughty but Nice (album)
L&M	L&M
Hliðskjálf	Hliðskjálf (album)
Sonera staadion	Sonera Stadium
Kriminaalpsühholoogia	Criminal psychology
Seinte vahel	The Class (2008 film)
Kaardipartii	Playing Cards (film)
Elustrateegia	R/K selection theory
Vastlakukkel	Semla
Loomine eimillestki	Ex nihilo
Tristani-akord	Tristan chord
Verdens Gang	Verdens Gang
Msta jõgi	Msta River
Credo	Credo
Ratsionaalse valiku teooria	Rational choice theory
Subjektiivsus	Subjectivity
Kõrgepinge	High voltage
Vanakreeka muusika	Music of ancient Greece
Jeffersoni maakond (Indiana)	Jefferson County, Indiana
Vene-Pärsia sõda (1804–1813)	Russo-Persian War (1804–13)
IBA	Important Bird Area
Kõnnukajakas	Relict gull
Xerox Alto	Xerox Alto
Criollo	Criollo horse
Mitokondri kristad	Crista
Heliintensiivsus	Sound intensity
Key to My Soul	Key to My Soul
Sarah Connor (album)	Sarah Connor (album)
Mustjuur	Scorzonera
Kuningas Karli maa	Kong Karls Land
Usaldusväärse platvormi moodul	Trusted Platform Module
Isikukood	National identification number
Ambivalentsus	Ambiguity
Vene-Poola sõda (1632–1634)	Smolensk War
Wadō-Ryū	Wadō-ryū
Ny Carlsberg Glyptotek	Ny Carlsberg Glyptotek
Rundetårn	Rundetårn
Kriitiline õigusteadus	Critical legal studies
Mikroajalugu	Microhistory
Long-Term Capital Management	Long-Term Capital Management
Fair Game	Fair Game
Võrgukeskne sõjapidamine	Network-centric warfare
Inawashiro järv	Lake Inawashiro
Sinise granaatkivi mõistatus	The Adventure of the Blue Carbuncle
Mobiilne internetiseade	Mobile Internet device
Malaja Višera rajoon	Malovishersky District
Fosforiringe	Phosphorus cycle
Alofi saar	Alofi Island
Maa-alune jõgi	Subterranean river
Hapnikuringe	Oxygen cycle
California osariigi pitsat	Seal of California
Tikksaag	Jigsaw (power tool)
Cronbachi α	Cronbach's alpha
NLKP 20. kongress	20th Congress of the Communist Party of the Soviet Union
Füüsikaprotsessor	Physics processing unit
Renault Trafic	Renault Trafic
Rimini Miramare lennujaam	Federico Fellini International Airport
Eralduvusaksioomid	Separation axiom
Popocatépetli kloostrid	Monasteries on the slopes of Popocatépetl
Gastrulatsioon	Gastrulation
Manon Lescaut	Manon Lescaut
Orlan (skafander)	Orlan space suit
Personal Jesus	Personal Jesus
Haldjaking	Calypso bulbosa
Kommentaar (programmeerimine)	Comment (computer programming)
Spioonitest	The Recruit
Rosneft	Rosneft
Pittodrie staadion	Pittodrie Stadium
Eremiitpõrnikas	Osmoderma eremita
2006. aasta kergejõustiku sisemaailmameistrivõistlused	2006 IAAF World Indoor Championships
Krossijooksu maailmameistrivõistlused	IAAF World Cross Country Championships
Nokia toodete loend	List of Nokia products
Fenomenalism	Phenomenalism
2006. aasta krossijooksu maailmameistrivõistlused	2006 IAAF World Cross Country Championships
Ristmeedia	Crossmedia
Fiat Ducato	Fiat Ducato
BMW E38	BMW 7 Series (E38)
Rahutegija	The Peacemaker (1997 film)
Sikorsky S-76	Sikorsky S-76
Navarino	Navarino Island
Sessiilne organism	Sedentism
Ka gängster on inimene	Analyze This
Eenetsid	Enets people
Illustrious	HMS Illustrious (R06)
Kresttsõ rajoon	Krestetsky District
Wechsleri intelligentsusskaalad	Wechsler Adult Intelligence Scale
Ehapuna	Afterglow
Aerutamine	Canoe sprint
Taoismi varamu	Daozang
Mūsa jõgi	Mūša
Avaliku Teenistuse Kohus	European Union Civil Service Tribunal
Sölkupid	Selkup people
Harilik ungrukold	Huperzia selago
Valge Lootos	White Lotus
CryoSat	CryoSat
Taani troonipärimisjärjekord	Line of succession to the Danish throne
Kotijooks	Sack race
Skopje lennujaam	Skopje "Alexander the Great" Airport
TIA/EIA-568	TIA/EIA-568
Stop the Clocks	Stop the Clocks
Odavlennufirmade loend	List of low-cost airlines
Elektroporatsioon	Electroporation
Finlandia-talo	Finlandia Hall
Vampiir (loom)	Spectral bat
Mikropaleontoloogia	Micropaleontology
De libero arbitrio	De libero arbitrio (Augustine)
Kristlik-Demokraatlik Liit – Tšehhoslovakkia Rahvapartei	Christian and Democratic Union – Czechoslovak People's Party
Vennad Lõvisüdamed	The Brothers Lionheart
Rock My Life (album)	Rock My Life
Alkaline Trio	Alkaline Trio
Hallmänsak	Clark's nutcracker
Lenddraakon	Draco (genus)
Omolon	Omolon River
Eveenid	Evens
Kääbus-karihiir	Eurasian least shrew
Lambatatik	Suillus granulatus
Svenskøya	Svenskøya
Cube (mäng)	Cube (video game)
Kuupsatelliit	CubeSat
Lilja 4-ever	Lilya 4-ever
Rawa Mazowiecka maakond	Rawa County
Tarkvarapakett	Software suite
MMORTS	Massively multiplayer online real-time strategy game
Moldaavia ANSV	Moldavian Autonomous Soviet Socialist Republic
Krakówi Maria kirik	St. Mary's Basilica, Kraków
Šoti käbilind	Scottish crossbill
Lehtkaliiber	Feeler gauge
Globaalne muutuja	Global variable
Jegor Strojev	Yegor Stroyev
Eagle Guardian	Operation Eagle Guardian
Ultraaluseline kivim	Ultramafic rock
Hüpoteetilis-deduktiivne meetod	Hypothetico-deductive model
Heckscheri-Ohlini teoreem	Heckscher–Ohlin theorem
Cumberlandi platoo	Cumberland Plateau
Yukie Nakama	Yukie Nakama
The Kovenant	The Kovenant
Tibetoloogia	Tibetology
The Minch	The Minch
RRAM	Resistive random-access memory
Solenti väin	Solent
Lek	Lek (river)
Diana piirkond	Diana Region
Rick Savage	Rick Savage
Streptomyces	Streptomyces
November 2003	November 2003
Skierniewice maakond	Skierniewice County
Łowiczi maakond	Łowicz County
Wieluńi maakond	Wieluń County
Piotrków Trybunalski maakond	Piotrków County
Łaski maakond	Łask County
Opoczno maakond	Opoczno County
Bengali kirjandus	Bengali literature
Predikaat	Predicate (mathematical logic)
Metsatöll	Metsatöll
Dideba zetsith kurtheuls	Dideba
Sarigan	Sarigan
Ganglioni tsüst	Ganglion cyst
Läänetsuuga	Tsuga heterophylla
Kalifornia harakas	Yellow-billed magpie
Thaïs	Thaïs (opera)
Kitsesaar	Goat Island (New York)
Highland Park	Highland Park, Michigan
Umeå Ülikool	Umeå University
Istumine	Sitting
Armeenia Vabariiklik Partei	Republican Party of Armenia
Hor Virap	Khor Virap
Röövlitütar Ronja	Ronia the Robber's Daughter
Morbihani laht	Gulf of Morbihan
Pekingi Välisõpingute Ülikool	Beijing Foreign Studies University
Liechtensteini valitsusjuhtide loend	List of heads of government of Liechtenstein
Viiburi kubermang	Viipuri Province
